Title,Location,Price,Area
                        Apartment Tweede Kostverlorenkade                            ,            1053 SB Amsterdam (Kinkerbuurt)        ,"                €1,550 per month            ",60 m²
                        Apartment Lodewijk Boisotstraat 21                            ,            1057 ZM Amsterdam (Chassébuurt)        ,"                €2,350 per month            ",85 m²
                        Apartment Jan van Riebeekstraat 10 2                            ,            1057 ZX Amsterdam (Chassébuurt)        ,"                €1,950 per month            ",60 m²
                        Apartment Johannes Verhulststraat 187 H                            ,            1075 GZ Amsterdam (Willemspark)        ,"                €7,000 per month            ",232 m²
                        Apartment Van Breestraat 73 I                            ,            1071 ZH Amsterdam (Museumkwartier)        ,"                €2,450 per month            ",68 m²
                        Apartment Paradijsplein                            ,            1093 NJ Amsterdam (Dapperbuurt)        ,"                €2,350 per month            ",64 m²
                        Apartment Tuinstraat 30 2                            ,            1015 PE Amsterdam (Jordaan)        ,"                €2,750 per month            ",111 m²
                        Apartment Jacob van Lennepstraat                            ,            1053 KB Amsterdam (Van Lennepbuurt)        ,"                €1,595 per month            ",50 m²
                        Apartment Prinsengracht 669 2                            ,            1017 JT Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",55 m²
                        Apartment Marathonweg 15 3                            ,            1076 SX Amsterdam (Stadionbuurt)        ,"                €1,750 per month            ",43 m²
                        House Amstel 49                            ,            1011 PW Amsterdam (Nieuwmarkt/Lastage)        ,"                €4,950 per month            ",125 m²
                        House Laagte Kadijk 55                            ,            1018 BB Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,250 per month            ",87 m²
                        House Sassenheimstraat 40 2                            ,            1059 BJ Amsterdam (Hoofddorppleinbuurt)        ,"                €1,800 per month            ",56 m²
                        Apartment Valkenburgerstraat 136 F                            ,            1011 NA Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,750 per month            ",95 m²
                        Apartment Joan Melchior Kemperstraat 108 2                            ,            1051 TW Amsterdam (Staatsliedenbuurt)        ,"                €1,850 per month            ",47 m²
                        Apartment Haarlemmerdijk 100 D                            ,            1013 JG Amsterdam (Haarlemmerbuurt)        ,"                €2,500 per month            ",100 m²
                        Apartment Derde Helmersstraat 41 A                            ,            1054 BB Amsterdam (Helmersbuurt)        ,"                €2,450 per month            ",65 m²
                        Apartment Kuipersstraat                            ,            1073 EV Amsterdam (Nieuwe Pijp)        ,"                €1,600 per month            ",45 m²
                        Apartment Jasper Leijnsenstraat 23 3                            ,            1056 XW Amsterdam (Landlust)        ,"                €1,650 per month            ",53 m²
                        Apartment Dostojevskisingel                            ,"            1102 XM Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,250 per month            ",45 m²
                        Apartment Orteliuskade                            ,            1057 AE Amsterdam (Hoofdweg e.o.)        ,"                €1,850 per month            ",54 m²
                        Apartment Nicolaas Maesstraat 77 II-III                            ,            1071 PS Amsterdam (Museumkwartier)        ,"                €5,750 per month            ",185 m²
                        Apartment Singel                            ,            1015 AC Amsterdam (Grachtengordel-West)        ,"                €2,500 per month            ",82 m²
                        Apartment Lijnbaansgracht                            ,            1016 KT Amsterdam (Jordaan)        ,"                €1,950 per month            ",44 m²
                        Apartment Badhuiskade 75                            ,            1031 KV Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,450 per month            ",87 m²
                        House Nederhoven                            ,            1083 AM Amsterdam (Buitenveldert-Oost)        ,"                €8,500 per month            ",336 m²
                        Apartment Jan van Zutphenstraat                            ,            1069 RS Amsterdam (Osdorp-Midden)        ,"                €2,500 per month            ",118 m²
                        Apartment Postjeskade                            ,            1058 DW Amsterdam (Westindische Buurt)        ,"                €1,850 per month            ",58 m²
                        Apartment Egelantiersstraat                            ,            1015 PP Amsterdam (Jordaan)        ,"                €2,200 per month            ",80 m²
                        Apartment Vechtstraat                            ,            1079 JV Amsterdam (Rijnbuurt)        ,"                €1,800 per month            ",62 m²
